"","year","value.IS.AIR.GOOD.MT.K1","value.IS.AIR.PSGR","value.SP.DYN.LE00.FE.IN","value.SP.DYN.LE00.MA.IN","value.SM.POP.REFG","value.SL.TLF.CACT.FE.ZS","value.SL.TLF.CACT.MA.ZS","value.SL.UEM.TOTL.ZS","value.EN.POP.DNST","value.SP.POP.GROW","value.SP.URB.TOTL.IN.ZS","value.SP.RUR.TOTL.ZS","value.AG.SRF.TOTL.K2","value.SP.RUR.TOTL","value.SP.URB.TOTL","value.EN.URB.MCTY.TL.ZS","value.NY.ADJ.SVNX.GN.ZS","value.NE.EXP.GNFS.ZS","value.NY.GDP.MKTP.KD.ZG","value.NY.GNS.ICTR.ZS","value.BX.KLT.DINV.CD.WD","value.SL.TLF.TOTL.IN","value.SP.POP.0014.TO.ZS","value.SE.PRE.ENRR","value.SP.DYN.LE00.IN","value.SP.DYN.TFRT.IN","value.NY.GDP.MKTP.CD","value.SP.POP.TOTL","value.NY.GDP.PCAP.CD","value.NY.GDP.PCAP.KD.ZG","value.NY.GNP.MKTP.CD","value.AG.LND.CREL.HA","value.AG.PRD.CREL.MT","value.WLD.TEMP.ANOMALY"
"491459",1991,56142.3000809547,1133228204,67.9570849811142,63.4589670624529,19429141,51.0665909796216,80.0463441019799,4.75776190755895,42.1585604033652,1.66643660559657,43.3965250927494,56.6034749072507,131538472.44308,3037418857,2328716102,18.2828460525754,7.80006587718959,19.2011174491384,1.42802344975227,22.2770944610406,174936288835.016,2364045311,32.7374651155119,28.7047805786133,65.6194665541664,3.15739273880622,23966556368598.6,5368065408,4464.65431156658,-0.234505274114355,23827388184360.8,583255080,1690436362,0.39
"507304",1992,61025.1997384947,1145436692,68.1268956988968,63.5952297522752,20545162,51.1056190540908,79.9326818168286,4.90039491781717,42.8204759363916,1.5701098551145,43.7401081725118,56.2598918274882,131538524.317104,3066381335,2384004786,18.4224114896426,7.66655722411873,20.6571985256045,1.76818451230672,22.4557088145449,186255321391.406,2406983742,32.5354202734377,28.9172706604004,65.7705534562249,3.07160490078165,25452880601117.7,5452349932,4668.24046852422,0.195012742897177,25304511915882.7,690995113,1943646439,0.24
"523149",1993,67522.6001899917,1142265216,68.285083500587,63.6794825710288,19238525,50.9929232391818,79.7383456359062,5.21075634366476,43.4905667153423,1.56192473084282,44.1039712644757,55.8960287355243,131538634.317104,3094133809,2441382525,18.5913253590881,7.27149566783403,20.1462223512595,1.52922670211612,22.5865402360726,233727800642.445,2447959258,32.2831885968721,29.0209999084473,65.8876310258642,2.98770925497141,25857861952437.4,5537511534,4669.58159701728,-0.0321951644904459,25696027860384.9,685774103,1891199255,0.28
"538994",1994,77183.3003311681,1233233404,68.5341612242796,63.842554955698,18846657,51.0955527085948,79.5982547234312,5.43024355068431,44.1565242223662,1.5219049113045,44.4657677390464,55.5342322609536,131531721.316615,3120891523,2498870187,18.777067107852,8.60433452010801,20.872583804073,3.00048415859597,23.3457820065282,278763648202.242,2494115050,32.0213283574639,28.9004306793213,66.0895466803164,2.92192046917306,27770700605131.1,5621787194,4939.83490424008,1.45641401093035,27627629903548.1,682230319,1938034252,0.34
"554839",1995,83098.2003978345,1302891640.1,68.7169661259263,64.0368083139433,18141960,51.0381139876487,79.4010847560504,5.57642582014335,44.8244242357522,1.51022963107914,44.8415727483283,55.1584272516717,131531751.316615,3146585718,2558047051,18.9961818453705,9.11091477504104,21.8543328071232,3.02189630858216,23.4711633184856,361954964030.332,2536372829,31.7657147967095,29.3907508850098,66.2781694722493,2.86256281991574,30886564791441.9,5706689090,5412.34405875824,1.48917668987339,30711314862365.1,674869206,1884559125,0.47
"570684",1996,89164.5999806,1390963704,68.9759654532296,64.337968192541,16725191,50.9696969027491,79.1883506465804,5.65528455336363,45.4760106918753,1.45329012483488,45.2026351504502,54.7973648495498,131531831.316615,3171418308,2616119682,19.221283046428,11.0551724854896,22.0372544002901,3.38878157354132,24.3046180634373,417894542573.843,2580557306,31.423058214376,29.9120101928711,66.5598345645247,2.81697006304372,31572630014941.4,5789623839,5453.31283912821,1.90776607276597,31408641206815.3,688835015,2046189817,0.32
"586529",1997,102876.101219632,1455104192,69.2330082509493,64.6446207418758,15484076,50.980512392364,79.0392749475783,5.6901171819262,46.0999443778766,1.42721745484371,45.566545850428,54.433454149572,131600571.316615,3195320753,2674820699,19.45177626459,11.5333020902735,23.154925722819,3.67412495950985,24.7603934085629,534809680790.05,2625274039,31.1421103433784,28.3360900878906,66.8446447687311,2.77710201784732,31458072767939.3,5872254361,5357.06916527067,2.21529049208769,31342338953218.2,688467176,2078648401,0.51
"602374",1998,101788.274305637,1466961780,69.4526363519226,64.9058520667506,15053820,50.9033642677771,78.8586507362813,5.82800856936071,46.7512739643675,1.39215977330515,45.9354492763354,54.0645507236646,131573311.316615,3217928619,2734083513,19.7032463097807,11.2161236382071,23.3660658332644,2.55620708540786,24.5717059750203,798685850988.344,2666912659,30.8736968070594,31.5312404632568,67.0868314976114,2.74618064893895,31393287815503.4,5954005524,5272.63330357357,1.14806442106092,31347629597539,668457970,2068470278,0.65
"618219",1999,108629.618245873,1562256300,69.6311158823497,65.1369007291674,15364642,50.9881360899061,78.7738711178017,5.94186309268396,47.3807345902426,1.35180012305275,46.3078596616706,53.6921403383294,131573311.316615,3239086644,2793615018,19.9787333149314,10.5903590627276,23.7004062129509,3.24844499646233,24.2240601371772,1203496167421.99,2715613701,30.5527923984899,32.6646995544434,67.2931461245847,2.71636326193985,32561772674844.6,6034491778,5395.94283541083,1.87134798899169,32502486594371.4,660663590,2068338059,0.44
"634064",2000,118257.211,1674064712,69.8672784722445,65.4082224782409,15935134,50.9181955890202,78.5224698039089,5.77402266474214,48.002434161172,1.32307344076723,46.6893226450493,53.3106773549507,131606512.293178,3258670380,2853933221,20.2806285055372,10.5351199598048,25.9701777683392,4.3846784275664,24.9160085897711,1569118768884.7,2760389690,30.1581954966186,33.586669921875,67.549249388929,2.69600289840186,33618616210474.6,6114332536,5498.32970525151,3.02162664715154,33638045086936.6,663741130,2050123673,0.43
"649909",2001,110860.835000095,1655230214,70.1111238944027,65.7039642318085,16043088,50.6744824277915,78.1833626456535,5.85395658112099,48.6257393515365,1.29759463576549,47.1375466091162,52.8624533908839,131606902.668177,3273211807,2918728973,20.490502091911,9.66351154040701,25.2727628307109,1.96045013163312,24.1413967130918,895499916623.672,2797011910,29.8247211540562,34.1652297973633,67.8217974768807,2.66630103668998,33426577337534.9,6193671787,5396.89193859036,0.654364497252956,33468550733980.7,661813395,2090420079,0.57
"665754",2002,117506.673,1627404873,70.3376648288679,65.9696133635309,14619220,50.4994061275188,77.8810418100503,6.11318831686218,49.2474434233622,1.27680622609007,47.6362248986464,52.3637751013536,131607327.418178,3283742678,2987277076,20.6637753867881,9.19202762096539,25.2511059692146,2.18207347594222,23.8058040160514,755583230625.121,2838891402,29.4135464833786,33.9481201171875,68.0704189582908,2.6436885913676,34709809969301.4,6272752974,5533.425293993,0.893854460448935,34694261635049,651891091,2041448700,0.62
"681599",2003,124203.199,1665309283,70.5734553935076,66.2436331934287,13728696,50.3913834698277,77.5734792469766,6.18856948891874,49.868730347568,1.2614778125009,48.1378578974861,51.8621421025139,131607728.793148,3293322178,3056824664,20.8441094610229,9.23440760447284,25.7832366605199,2.96371537847668,24.0270949986126,737213330829.891,2883791765,28.9637193867385,34.8522109985352,68.3269805436316,2.62482413555278,38944808654397.8,6351882361,6131.22322502626,1.68103172375939,38897195729611.5,658459616,2061790119,0.64
"697444",2004,139032.94,1888695284,70.8946602560908,66.5718274803231,13805229,50.2863426118682,77.4476489953045,6.01601530069637,50.4949013986535,1.25426257087446,48.6436614215151,51.3563385784849,131605872.777079,3302116966,3127696870,21.0282985925929,9.89312391965425,27.444616643275,4.40746112855823,25.1009175283769,1010430393064.66,2932205885,28.5406214628097,36.1707916259766,68.6523317451475,2.60854389265525,43867138874872.4,6431551644,6820.61519568082,3.11413907683796,43861884747417.3,669546913,2272604605,0.58
"713289",2005,141483.603,1969590799,71.1621289819444,66.8399950055271,13011239,50.2214509955554,77.2575579524063,5.90135020442986,51.1245616547904,1.24692651849909,49.152597964493,50.847402035507,131607830.159892,3310170117,3199838222,21.2185307332712,10.0654211734366,28.591008501299,3.91497892665357,25.5590520615103,1563481637733.08,2978065113,28.1777542174702,37.8375282287598,68.9203039999246,2.58798217967699,47517226727335.8,6511748367,7297.15339863896,2.63519348181606,47507225032960.9,679342593,2250390711,0.67
"729134",2006,148937.604,2072413898,71.5062059465064,67.1794483066893,14325353,49.9027450157155,77.0191824384702,5.59411496360997,51.7620561183525,1.24369325157616,49.6532929407135,50.3467070592865,131608165.134891,3318341278,3272638491,21.4158523666446,11.0838173806041,29.7924061443854,4.37986499971008,26.6787488861581,2202604164398.87,3014676711,27.8758956079056,40.1926612854004,69.2624024133142,2.57709628998837,51502021664272.8,6592734542,7811.93620585987,3.09764652731602,51658917496996.1,673236922,2249856497,0.64
"744979",2007,158205.946,2209136496,71.8448659980364,67.5010263971034,15952928,49.7332072232011,76.8574507164609,5.35357603219787,52.401770959484,1.2357408823454,50.1445259797216,49.8554740202784,131608206.109878,3326573660,3345860457,21.6155969946439,11.1144932249313,30.04367992428,4.32373662343339,26.5623698461524,3135872889128.28,3054828915,27.6218605506578,41.6685600280762,69.5920508518285,2.56709209555006,58031535098689.5,6674203658,8694.90025662167,3.05030191331024,57937627408002.5,686404736,2341078848,0.62
"760824",2008,158487.874,2208218737,72.1606281813433,67.8007194453949,15160745,49.4192519415744,76.6910336125851,5.35260946203096,53.0578811978267,1.23931258676613,50.6490928168973,49.3509071831027,131807675.133315,3333719734,3421413902,21.8366664286212,9.61481568926503,30.7067561743041,1.85346306022271,25.5881281062554,2478032194712.81,3090262848,27.4069445201475,43.3536796569824,69.899269794031,2.5550260604752,63675554101967.7,6756917904,9423.75725244088,0.606632401746324,63310948726003.2,703222023,2516319611,0.54
"776669",2009,175509.343654396,2249728546,72.5202672458807,68.1359959570323,15162394,49.1685568334745,76.4009541510342,6.00325130146506,53.7076180569038,1.22328524890125,51.1491289909178,48.8508710090822,131805348.055386,3340312853,3497462580,22.0685827173216,7.82600325866755,26.5122521056063,-1.67402065978645,23.2806367907552,1446872840778.04,3123270059,27.2092515515278,44.9927291870117,70.2465385233146,2.53424938177755,60395540053791.6,6839574284,8830.30690887831,-2.86229191392421,60136102852545.8,690697454,2486668419,0.65
"792514",2010,182025.62707797,2628261258.20994,72.843411241024,68.4320629734012,15239927,48.7673963600368,76.1341554688318,5.92230828587351,54.3528862139927,1.20325222861489,51.6462789650958,48.3537210349042,131805574.218215,3346105707,3573952645,22.3016236965417,9.61202782468294,28.916110474297,4.30065187346788,24.5623384218959,1916740277757.77,3152517317,27.0154361683035,46.5148887634277,70.5561596416354,2.51636271728674,66113119131563.3,6921871614,9551.33565289547,3.06057322926357,65993657242293.7,685802345,2463261280,0.73
"808359",2011,183037.230059023,2786953830.18207,73.1883236636807,68.7425572706221,15201674,48.4549032159269,75.9554675657227,5.80372495929623,54.9885896907073,1.170044671678,52.1039554704491,47.8960445295509,131805826.432909,3353217478,3647814680,22.502069952833,9.9327404184611,30.5029000741125,3.14027655362288,24.990947160883,2365696435985.99,3183785755,26.8583231658647,49.223461151123,70.8840683844971,2.4987600869466,73448341079239,7002860604,10488.3340155715,1.94744589501636,73399449535116.3,696253715,2583214960,0.58
"824204",2012,175051.342248843,2894054971.56489,73.4821731816055,69.0221104647523,15416945,48.1851520574552,75.8094790615111,5.77427305478483,55.6412023142105,1.1838419852688,52.555068374132,47.444931625868,131803288.425096,3360960665,3722958628,22.690743413907,10.2219082468173,30.5654937158268,2.51696285255024,25.131961323193,2065255689003.12,3217994209,26.6941200115422,52.286190032959,71.1716501208098,2.48933412404667,75145997061963.7,7085763408,10605.2083219604,1.31752347126293,75313645357208.1,708163023,2563241481,0.64
"840049",2013,175829.557813548,3048275073.17267,73.7817509287637,69.3027398574127,16728287,47.9648882855943,75.5331159690565,5.77340260564131,56.3003305181971,1.18373602349327,53.0055993277209,46.9944006722791,132047813.110236,3368457879,3799327693,22.8857248135299,10.1921650609687,30.3367763576037,2.66293597856703,24.8492859601155,2184451618089.55,3250388441,26.5292486107741,54.5989112854004,71.4621532675964,2.47296536682722,77302022602630.1,7169640142,10781.8553053719,1.46189497759831,77321860882681.5,724176619,2769528017,0.67
"855894",2014,184831.109461419,3227291386.47589,74.0703382226448,69.5721496934961,19534044,47.7601800181774,75.2555139493763,5.63313564579691,56.9651804710626,1.17981144554913,53.4579459736375,46.5420540263625,132046109.51847,3375406418,3876973173,23.0899917630743,10.7862782780865,30.1119206421233,2.84745929049367,25.210032361656,1942618797497.5,3283090381,26.369451489086,54.942440032959,71.7422791195969,2.46559289740566,79450807677429.7,7254228377,10952.3444187853,1.64820216713095,79723316685621.9,724000404,2818076836,0.74
"871739",2015,187769.416312345,3466478485,74.2715136590499,69.7792678211011,21351537,47.6459855030914,75.0363066911727,5.63774321521951,57.6308320818232,1.16809919120638,53.9142475514182,46.0857524485818,132048793.077485,3381376598,3955764308,23.3113242082621,11.0072645361774,29.2450537933958,2.87915245635897,25.1051928279548,2675557819086.84,3319441985,26.2157038055462,56.2567710876465,71.9474029185145,2.45620793559015,75198758494969,7338964960,10246.5073623909,1.69129723582012,75428141085831.5,725871660,2859039094,0.93
"887584",2016,194898.275094034,3705101897,74.5043763043319,70.0095321560843,22524734,47.5206284542125,74.7783149729155,5.66997321633792,58.2961280767276,1.16252807398607,54.3702688153605,45.6297311846395,132036620.811879,3386852596,4035616270,23.5392550995189,10.5179629076184,28.3968795934329,2.59217168828745,24.562861696789,2672991906795.33,3354103343,26.0741228258783,58.9850006103516,72.180758376222,2.4455188189656,76335795445380.4,7424282488,10281.9087997747,1.41321459785564,76419929213806.2,733334660,2909167070,1
"903429",2017,212866.647172063,3973790462.77031,74.6960496959591,70.2217766861034,25383515,47.4422389178302,74.5821590563811,5.57000745604039,58.9618534562478,1.14197186242626,54.8230484819113,45.1769515180887,132036620.811879,3391541342,4115696800,23.7670741438885,10.8646781207486,29.3377881891108,3.2619713391458,25.0856545088006,2065300452519.74,3391313233,25.9352650201403,60.7170791625977,72.3855753160321,2.42813836473607,81229182706392.5,7509065705,10817.4819474952,2.09606302673559,81369205014783.8,731350640,2979654907,0.91
